order, word
167,bare
185,beans
54,become
12,been
36,began
116,belong
27,below
114,beneath
153,bent
77,beside
168,blew
86,bought
122,bowl
232,brass
253,breeze
75,bright
52,brought
228,buried
178,burst
175,bushes
17,came
222,canoe
65,carry
72,caught
57,certain
115,chart
18,come
256,compounds
180,concerned
81,corner
11,could
154,crowded
248,currents
118,deer
234,definite
48,didn't
139,dishes
19,does
110,drove
156,due
206,dug
231,dull
220,eager
128,earlier
20,even
87,evening
100,fair
90,farther
187,fastened
60,felt
213,fewer
243,fierce
108,flew
40,following
151,foreign
95,forth
138,fought
143,frightened
112,further
121,gathered
51,gave
230,goose
38,got
247,grabbed
176,graph
219,gulf
3,had
141,hadn't
215,halfway
197,hang
165,hanging
10,has
217,hay
133,he'd
202,headed
45,heard
63,held
208,herd
41,however
120,hung
227,ill
201,income
62,instead
13,its
67,itself
35,kind
43,knew
181,lack
102,laid
68,least
82,led
39,let
134,lift
173,logs
150,loose
99,loud
260,lungs
135,lying
129,manner
15,may
26,might
214,nails
93,narrow
74,nearly
97,neither
184,nodded
80,nor
106,northern
29,often
32,once
98,onto
160,ought
182,oured
258,ourswlves
179,owned
55,perhaps
174,pile
157,pitch
132,pleasant
192,pleased
239,pole
142,pond
210,porch
242,pour
211,powder
235,prime
76,pulled
198,raw
69,reached
229,rear
164,remains
103,replied
79,ride
101,rode
131,roof
127,rough
113,rubber
259,rush
218,saddle
147,sang
196,scattered
59,seemed
47,seen
203,seldom
252,shallow
238,shelf
91,shore
56,shown
136,shut
85,sight
255,silly
237,sink
224,slabs
177,slide
257,slight
144,slightly
170,slipped
249,slope
145,somewhat
155,somewhere
94,speech
96,spot
195,stairs
146,steady
58,stood
71,straight
161,straw
166,strip
130,struck
207,struggle
21,such
125,supper
42,sure
205,swam
216,swept
250,swung
22,take
64,taken
209,tape
126,taught
191,tent
6,their
7,them
8,then
84,thick
28,those
204,thou
53,though
119,threw
171,throat
92,throughout
193,thrown
245,thumb
73,thus
241,thy
223,tide
104,tied
158,tight
212,tightly
159,tin
200,toes
233,tons
33,took
225,torn
246,tossed
46,toward
251,tune
31,until
49,upon
186,upward
254,vessels
109,vowel
1,was
190,waste
107,we're
172,we've
24,went
4,were
105,wet
140,whale
123,whenever
188,wherever
61,whether
240,whistle
44,whole
124,whom
70,whose
5,wich
221,widely
189,willing
78,won't
148,wondered
163,wool
117,wore
169,worn
111,worth
9,would
89,yard
226,yelled
152,you'd
